Iteration,Timestamp,Metric,Value,Unit
1,2025-10-20 19:38:48,download_time,0.7337923049926758,seconds
1,2025-10-20 19:38:48,read_time,3.4998066425323486,seconds
1,2025-10-20 19:38:48,total_edges,103689,edges
1,2025-10-20 19:38:48,count_time,1.7794761657714844,seconds
1,2025-10-20 19:38:48,count_throughput,58269.395226794775,edges/second
1,2025-10-20 19:38:48,total_nodes,7115,nodes
1,2025-10-20 19:38:48,unique_nodes_time,2.6325318813323975,seconds
1,2025-10-20 19:38:48,outdegree_time,12.579912662506104,seconds
1,2025-10-20 19:38:48,outdegree_throughput,485.6949458966115,nodes/second
1,2025-10-20 19:38:48,indegree_time,5.514552354812622,seconds
1,2025-10-20 19:38:48,indegree_throughput,431.7666869047077,nodes/second
1,2025-10-20 19:38:48,top_influencers_time,2.8008100986480713,seconds
1,2025-10-20 19:38:48,stats_time,3.9183263778686523,seconds
1,2025-10-20 19:38:48,avg_out_degree,16.97037643207856,edges
1,2025-10-20 19:38:48,max_out_degree,893,edges
1,2025-10-20 19:38:48,avg_in_degree,43.54850902981941,edges
1,2025-10-20 19:38:48,max_in_degree,457,edges
1,2025-10-20 19:38:48,total_processing_time,29.22560954093933,seconds
1,2025-10-20 19:38:48,overall_throughput,3547.8815199646087,edges/second
2,2025-10-20 19:39:30,download_time,0.7610921859741211,seconds
2,2025-10-20 19:39:30,read_time,3.4504504203796387,seconds
2,2025-10-20 19:39:30,total_edges,103689,edges
2,2025-10-20 19:39:30,count_time,1.9510102272033691,seconds
2,2025-10-20 19:39:30,count_throughput,53146.31289689886,edges/second
2,2025-10-20 19:39:30,total_nodes,7115,nodes
2,2025-10-20 19:39:30,unique_nodes_time,2.2257936000823975,seconds
2,2025-10-20 19:39:30,outdegree_time,13.813673973083496,seconds
2,2025-10-20 19:39:30,outdegree_throughput,442.31534723532513,nodes/second
2,2025-10-20 19:39:30,indegree_time,6.59817910194397,seconds
2,2025-10-20 19:39:30,indegree_throughput,360.8571339475318,nodes/second
2,2025-10-20 19:39:30,top_influencers_time,2.896554470062256,seconds
2,2025-10-20 19:39:30,stats_time,4.363653898239136,seconds
2,2025-10-20 19:39:30,avg_out_degree,16.97037643207856,edges
2,2025-10-20 19:39:30,max_out_degree,893,edges
2,2025-10-20 19:39:30,avg_in_degree,43.54850902981941,edges
2,2025-10-20 19:39:30,max_in_degree,457,edges
2,2025-10-20 19:39:30,total_processing_time,31.848865270614624,seconds
2,2025-10-20 19:39:30,overall_throughput,3255.65759153337,edges/second
3,2025-10-20 19:40:15,download_time,0.770679235458374,seconds
3,2025-10-20 19:40:15,read_time,3.542112112045288,seconds
3,2025-10-20 19:40:15,total_edges,103689,edges
3,2025-10-20 19:40:15,count_time,1.808342456817627,seconds
3,2025-10-20 19:40:15,count_throughput,57339.2498799563,edges/second
3,2025-10-20 19:40:15,total_nodes,7115,nodes
3,2025-10-20 19:40:15,unique_nodes_time,2.385361433029175,seconds
3,2025-10-20 19:40:15,outdegree_time,16.396831035614014,seconds
3,2025-10-20 19:40:15,outdegree_throughput,372.6329793073457,nodes/second
3,2025-10-20 19:40:15,indegree_time,6.900976181030273,seconds
3,2025-10-20 19:40:15,indegree_throughput,345.02365137051254,nodes/second
3,2025-10-20 19:40:15,top_influencers_time,2.8139147758483887,seconds
3,2025-10-20 19:40:15,stats_time,3.8395986557006836,seconds
3,2025-10-20 19:40:15,avg_out_degree,16.97037643207856,edges
3,2025-10-20 19:40:15,max_out_degree,893,edges
3,2025-10-20 19:40:15,avg_in_degree,43.54850902981941,edges
3,2025-10-20 19:40:15,max_in_degree,457,edges
3,2025-10-20 19:40:15,total_processing_time,34.14502453804016,seconds
3,2025-10-20 19:40:15,overall_throughput,3036.7235461928735,edges/second
4,2025-10-20 19:40:54,download_time,0.6191363334655762,seconds
4,2025-10-20 19:40:54,read_time,3.6927578449249268,seconds
4,2025-10-20 19:40:54,total_edges,103689,edges
4,2025-10-20 19:40:54,count_time,1.9143424034118652,seconds
4,2025-10-20 19:40:54,count_throughput,54164.2915160834,edges/second
4,2025-10-20 19:40:54,total_nodes,7115,nodes
4,2025-10-20 19:40:54,unique_nodes_time,2.570317506790161,seconds
4,2025-10-20 19:40:54,outdegree_time,11.695458173751831,seconds
