Baseline,Measurement_Index,Absolute_Throughput_edges_sec,Normalized_Throughput,Performance_vs_Default_percent
default,1,2568.63,0.8414856047466568,0
default,2,3270.65,1.0714680172561455,0
default,3,3261.57,1.0684934007130469,0
default,4,3140.27,1.0287554065855276,0
default,5,2751.14,0.9012760524648226,0
default,6,3022.19,0.9900722874876096,0
default,7,3049.19,0.998917512891097,0
default,8,2833.23,0.9281688137008329,0
default,9,2743.88,0.8988976696341071,0
default,10,3004.4,0.984244266749534,0
default,11,3319.7,1.0875368434058141,0
default,12,3310.59,1.0845523988344894,0
default,13,3116.73,1.02104368043745,0
default,14,3342.75,1.0950880450928655,0
ec,1,3547.88,1.1622888260935085,16.228882609350848
ec,2,3255.66,1.0665572791525055,6.655727915250553
ec,3,3036.72,0.9948323291584492,-0.5167670841550787
ec,4,3729.03,1.2216337365320913,22.163373653209128
ec,5,3423.42,1.1215156129928405,12.151561299284053
at,1,7925.41,2.5963717727797313,159.63717727797314
at,2,8009.13,2.6237985235493593,162.37985235493593
at,3,7842.96,2.569361075205008,156.93610752050077
at,4,6318.3,2.0698810246983026,106.98810246983027
ap,1,4819.94,1.579016878936476,57.901687893647605
ap,2,5265.91,1.7251170705362264,72.51170705362264
ap,3,4916.59,1.6106795098715523,61.06795098715523
ap,4,4547.39,1.4897292425023845,48.97292425023845
ap,5,5513.2,1.8061295072039445,80.61295072039445
ap,6,4987.53,1.633919520616863,63.39195206168631
ap,7,4799.31,1.5722584715263301,57.225847152633015
ap,8,4599.61,1.5068365636346106,50.68365636346106
ap,9,4669.01,1.529572068930982,52.957206893098196
ap,10,5645.62,1.849510423793937,84.9510423793937
ap,11,5371.85,1.759823114211984,75.9823114211984
ap,12,4906.08,1.6072364239830095,60.723642398300946
ap,13,5604.23,1.8359510208513317,83.59510208513316
ap,14,4583.93,1.5016997808817707,50.16997808817707
ap,15,5543.61,1.8160918518157982,81.60918518157982
ap,16,4940.97,1.6186664208099606,61.86664208099606
ap,17,5065.34,1.6594101498259501,65.94101498259502
ap,18,5692.71,1.8649371520995006,86.49371520995007
ap,19,5036.48,1.6499555866724447,64.99555866724447
ap,20,5452.39,1.7862080939896459,78.62080939896458
ap,21,4360.73,1.4285792508796082,42.85792508796082
ap,22,4730.53,1.549726078813298,54.97260788132981
ap,23,4627.1,1.5158423134991243,51.584231349912436
ap,24,4808.44,1.5752494681164722,57.52494681164721
ap,25,4213.78,1.3804382926187762,38.04382926187762
ap,26,4952.94,1.622587804072173,62.25878040721731
ap,27,5160.27,1.6905093071427302,69.05093071427302
ap,28,4749.75,1.5560225688968177,55.60225688968177
ap,29,4897.86,1.6045435442490588,60.45435442490587
ap,30,5331.3,1.7465388960597095,74.65388960597095
ap,31,4980.92,1.6317540783977131,63.17540783977131
ap,32,5182.82,1.6978967083593461,69.78967083593461
ap,33,4690.0,1.536448412679841,53.6448412679841
sw,1,8969.84,2.9385280234524833,193.85280234524834
sw,2,7427.98,2.433413236762816,143.34132367628158
sw,3,6134.7,2.009733491954589,100.97334919545888
sw,4,7629.62,2.4994706904798227,149.94706904798227
sw,5,7230.45,2.368702222912784,136.87022229127842
sw,6,7253.18,2.376148592298757,137.6148592298757
sw,7,7200.35,2.3588414345926,135.88414345926
sw,8,8021.88,2.6279754355454505,162.79754355454506
sw,9,6997.21,2.292292579464288,129.2292579464288
sw,10,7314.81,2.3963386382845693,139.63386382845692
sw,11,7484.5,2.4519292419407828,145.19292419407827
sw,12,5648.82,1.8505587468047207,85.05587468047207
sw,13,5238.75,1.7162194289822,71.62194289822
sw,14,7689.99,2.519247959280139,151.92479592801388
sw,15,6374.78,2.0883839258386345,108.83839258386345
sw,16,7799.49,2.555120262305393,155.5120262305393
sw,17,7059.08,2.312561249675909,131.2561249675909
