response_time_ms,cdf
1.664,0.0
1.681,0.0
1.743,0.0
1.761,0.0
1.793,0.0
1.815,0.0
1.824,0.0
1.825,0.0
1.827,0.0
1.83,0.0
1.835,0.0
1.837,0.0
1.843,0.0
1.85,0.0
1.856,0.0
1.866,0.0
1.875,0.0
1.895,0.0
1.914,0.0
1.915,0.0
1.915,0.0
1.916,0.0
1.918,0.001
1.923,0.001
1.926,0.001
1.929,0.001
1.931,0.001
1.936,0.001
1.936,0.001
1.937,0.001
1.938,0.001
1.941,0.001
1.945,0.001
1.949,0.001
1.951,0.001
1.951,0.001
1.953,0.001
1.953,0.001
1.957,0.001
1.961,0.001
1.962,0.001
1.964,0.001
1.969,0.001
1.97,0.001
1.98,0.001
1.986,0.001
1.986,0.001
1.994,0.001
1.994,0.001
1.996,0.001
1.996,0.001
1.998,0.001
2.001,0.001
2.003,0.001
2.004,0.001
2.012,0.001
2.016,0.001
2.019,0.001
2.02,0.001
2.024,0.001
2.026,0.001
2.026,0.001
2.028,0.001
2.028,0.001
2.032,0.001
2.033,0.001
2.033,0.001
2.033,0.002
2.034,0.002
2.039,0.002
2.039,0.002
2.041,0.002
2.041,0.002
2.043,0.002
2.046,0.002
2.047,0.002
2.059,0.002
2.062,0.002
2.063,0.002
2.063,0.002
2.065,0.002
2.067,0.002
2.068,0.002
2.069,0.002
2.07,0.002
2.076,0.002
2.076,0.002
2.078,0.002
2.08,0.002
2.081,0.002
2.083,0.002
2.083,0.002
2.086,0.002
2.092,0.002
2.092,0.002
2.094,0.002
2.104,0.002
2.104,0.002
2.105,0.002
2.106,0.002
2.109,0.002
2.112,0.002
2.12,0.002
2.127,0.002
2.129,0.002
2.131,0.002
2.131,0.002
2.133,0.002
2.134,0.002
2.135,0.002
2.145,0.002
2.145,0.002
2.146,0.003
2.15,0.003
2.157,0.003
2.158,0.003
2.159,0.003
2.159,0.003
2.16,0.003
2.162,0.003
2.162,0.003
2.164,0.003
2.165,0.003
2.166,0.003
2.166,0.003
2.166,0.003
2.167,0.003
2.17,0.003
2.17,0.003
2.172,0.003
2.172,0.003
2.175,0.003
2.175,0.003
2.176,0.003
2.176,0.003
2.179,0.003
2.185,0.003
2.186,0.003
2.186,0.003
2.186,0.003
2.191,0.003
2.192,0.003
2.193,0.003
2.195,0.003
2.199,0.003
2.2,0.003
2.201,0.003
2.203,0.003
2.205,0.003
2.207,0.003
2.208,0.003
2.21,0.003
2.212,0.003
2.213,0.003
2.219,0.003
2.22,0.003
2.22,0.003
2.222,0.004
2.224,0.004
2.224,0.004
2.224,0.004
2.231,0.004
2.231,0.004
2.231,0.004
2.234,0.004
2.234,0.004
2.235,0.004
2.244,0.004
2.246,0.004
2.246,0.004
2.248,0.004
2.25,0.004
2.253,0.004
2.253,0.004
2.254,0.004
2.255,0.004
2.255,0.004
2.258,0.004
2.261,0.004
2.269,0.004
2.271,0.004
2.273,0.004
2.275,0.004
2.277,0.004
2.279,0.004
2.281,0.004
2.285,0.004
2.286,0.004
2.288,0.004
2.288,0.004
2.289,0.004
2.291,0.004
2.295,0.004
2.297,0.004
2.298,0.004
2.298,0.004
2.299,0.004
2.301,0.004
2.304,0.004
2.305,0.004
2.305,0.004
2.307,0.004
2.307,0.005
2.31,0.005
2.313,0.005
2.313,0.005
2.313,0.005
2.315,0.005
2.316,0.005
2.317,0.005
2.32,0.005
2.321,0.005
2.322,0.005
2.322,0.005
2.323,0.005
2.326,0.005
2.331,0.005
2.332,0.005
2.334,0.005
2.337,0.005
2.341,0.005
2.341,0.005
2.344,0.005
2.344,0.005
2.345,0.005
2.347,0.005
2.347,0.005
2.35,0.005
2.351,0.005
2.351,0.005
2.354,0.005
2.364,0.005
2.364,0.005
2.368,0.005
2.37,0.005
2.371,0.005
2.375,0.005
2.38,0.005
2.38,0.005
2.381,0.005
2.382,0.005
2.384,0.005
2.384,0.005
2.39,0.005
2.39,0.005
2.391,0.005
2.399,0.005
2.4,0.006
2.4,0.006
2.401,0.006
2.402,0.006
2.409,0.006
2.411,0.006
2.418,0.006
2.419,0.006
2.42,0.006
2.421,0.006
2.425,0.006
2.431,0.006
2.435,0.006
2.436,0.006
2.439,0.006
2.44,0.006
2.442,0.006
2.445,0.006
2.446,0.006
2.446,0.006
2.45,0.006
2.451,0.006
2.452,0.006
2.453,0.006
2.455,0.006
2.456,0.006
2.457,0.006
2.459,0.006
2.459,0.006
2.46,0.006
2.463,0.006
2.463,0.006
2.464,0.006
2.466,0.006
2.472,0.006
2.474,0.006
2.478,0.006
2.482,0.006
2.483,0.006
2.488,0.006
2.488,0.006
2.488,0.006
2.491,0.006
2.494,0.006
2.495,0.006
2.496,0.007
2.501,0.007
2.509,0.007
2.514,0.007
2.517,0.007
2.518,0.007
2.524,0.007
2.524,0.007
2.526,0.007
2.527,0.007
2.531,0.007
2.535,0.007
2.542,0.007
2.543,0.007
2.543,0.007
2.546,0.007
2.547,0.007
2.552,0.007
2.558,0.007
2.571,0.007
2.574,0.007
2.575,0.007
2.577,0.007
2.577,0.007
2.577,0.007
2.58,0.007
2.582,0.007
2.585,0.007
2.586,0.007
2.588,0.007
2.589,0.007
2.591,0.007
2.598,0.007
2.603,0.007
2.605,0.007
2.606,0.007
2.608,0.007
2.61,0.007
2.612,0.007
2.616,0.007
2.619,0.007
2.621,0.007
2.621,0.007
2.626,0.007
2.628,0.008
2.634,0.008
2.635,0.008
2.646,0.008
2.649,0.008
2.657,0.008
2.664,0.008
2.667,0.008
2.668,0.008
2.693,0.008
2.697,0.008
2.708,0.008
2.712,0.008
2.724,0.008
2.726,0.008
2.729,0.008
2.73,0.008
2.732,0.008
2.737,0.008
2.745,0.008
2.755,0.008
2.756,0.008
2.766,0.008
2.772,0.008
2.776,0.008
2.777,0.008
2.777,0.008
2.78,0.008
2.784,0.008
2.797,0.008
2.824,0.008
2.826,0.008
2.827,0.008
2.828,0.008
2.829,0.008
2.829,0.008
2.832,0.008
2.835,0.008
2.836,0.008
2.84,0.008
2.844,0.008
2.849,0.008
2.865,0.008
2.869,0.008
2.873,0.008
2.875,0.009
2.892,0.009
2.895,0.009
2.904,0.009
2.905,0.009
2.916,0.009
2.92,0.009
2.926,0.009
2.931,0.009
2.944,0.009
2.944,0.009
2.953,0.009
2.958,0.009
2.967,0.009
2.967,0.009
2.973,0.009
2.974,0.009
2.977,0.009
