response_time_ms,cdf
1.619,0.0
1.743,0.0
1.776,0.0
1.777,0.0
1.805,0.0
1.822,0.0
1.849,0.0
1.879,0.0
1.88,0.0
1.893,0.0
1.895,0.0
1.898,0.0
1.903,0.0
1.905,0.0
1.909,0.0
1.913,0.0
1.914,0.0
1.918,0.0
1.92,0.0
1.926,0.0
1.936,0.0
1.946,0.0
1.946,0.001
1.947,0.001
1.959,0.001
1.959,0.001
1.968,0.001
1.969,0.001
1.976,0.001
1.981,0.001
1.982,0.001
1.983,0.001
1.986,0.001
1.986,0.001
1.991,0.001
1.992,0.001
1.993,0.001
1.999,0.001
2.0,0.001
2.001,0.001
2.001,0.001
2.005,0.001
2.011,0.001
2.017,0.001
2.019,0.001
2.023,0.001
2.024,0.001
2.028,0.001
2.028,0.001
2.028,0.001
2.03,0.001
2.035,0.001
2.039,0.001
2.039,0.001
2.039,0.001
2.042,0.001
2.044,0.001
2.046,0.001
2.046,0.001
2.047,0.001
2.052,0.001
2.058,0.001
2.061,0.001
2.073,0.001
2.073,0.001
2.08,0.001
2.083,0.001
2.085,0.002
2.085,0.002
2.086,0.002
2.087,0.002
2.089,0.002
2.091,0.002
2.095,0.002
2.1,0.002
2.1,0.002
2.102,0.002
2.104,0.002
2.105,0.002
2.106,0.002
2.11,0.002
2.112,0.002
2.113,0.002
2.114,0.002
2.123,0.002
2.126,0.002
2.128,0.002
2.136,0.002
2.138,0.002
2.14,0.002
2.14,0.002
2.142,0.002
2.143,0.002
2.144,0.002
2.144,0.002
2.147,0.002
2.148,0.002
2.152,0.002
2.153,0.002
2.154,0.002
2.154,0.002
2.156,0.002
2.158,0.002
2.159,0.002
2.161,0.002
2.162,0.002
2.164,0.002
2.165,0.002
2.165,0.002
2.165,0.002
2.166,0.002
2.167,0.002
2.168,0.003
2.168,0.003
2.173,0.003
2.182,0.003
2.184,0.003
2.185,0.003
2.187,0.003
2.189,0.003
2.189,0.003
2.189,0.003
2.19,0.003
2.192,0.003
2.2,0.003
2.204,0.003
2.206,0.003
2.21,0.003
2.21,0.003
2.211,0.003
2.213,0.003
2.213,0.003
2.215,0.003
2.219,0.003
2.219,0.003
2.22,0.003
2.221,0.003
2.222,0.003
2.223,0.003
