response_time_ms,cdf
1.638,0.0
1.64,0.0
1.643,0.0
1.648,0.0
1.667,0.0
1.696,0.0
1.729,0.0
1.74,0.0
1.753,0.0
1.754,0.0
1.757,0.0
1.763,0.0
1.766,0.0
1.771,0.0
1.776,0.0
1.778,0.0
1.795,0.0
1.796,0.0
1.799,0.0
1.807,0.0
1.808,0.0
1.826,0.0
1.835,0.001
1.843,0.001
1.843,0.001
1.846,0.001
1.853,0.001
1.854,0.001
1.857,0.001
1.86,0.001
1.862,0.001
1.867,0.001
1.869,0.001
1.871,0.001
1.871,0.001
1.875,0.001
1.875,0.001
1.878,0.001
1.88,0.001
1.884,0.001
1.884,0.001
1.885,0.001
1.887,0.001
1.889,0.001
1.893,0.001
1.902,0.001
1.903,0.001
1.903,0.001
1.904,0.001
1.905,0.001
1.909,0.001
1.909,0.001
1.909,0.001
1.909,0.001
1.912,0.001
1.914,0.001
1.918,0.001
1.918,0.001
1.924,0.001
1.929,0.001
1.933,0.001
1.938,0.001
1.94,0.001
1.941,0.001
1.944,0.001
1.945,0.001
1.949,0.001
1.952,0.002
1.954,0.002
1.954,0.002
1.957,0.002
1.959,0.002
1.967,0.002
1.97,0.002
1.971,0.002
1.973,0.002
1.975,0.002
1.975,0.002
1.976,0.002
1.976,0.002
1.977,0.002
1.978,0.002
1.982,0.002
1.983,0.002
1.984,0.002
1.986,0.002
1.988,0.002
1.989,0.002
1.989,0.002
1.998,0.002
2.0,0.002
2.003,0.002
2.008,0.002
2.01,0.002
2.012,0.002
2.013,0.002
2.013,0.002
2.014,0.002
2.016,0.002
2.018,0.002
2.02,0.002
2.021,0.002
2.023,0.002
2.023,0.002
2.025,0.002
2.026,0.002
2.026,0.002
2.027,0.002
2.027,0.002
2.028,0.002
2.033,0.002
2.038,0.002
2.039,0.003
2.04,0.003
2.041,0.003
2.042,0.003
2.043,0.003
2.044,0.003
2.045,0.003
2.047,0.003
2.047,0.003
2.052,0.003
2.052,0.003
2.052,0.003
2.067,0.003
2.068,0.003
2.069,0.003
2.07,0.003
2.073,0.003
2.076,0.003
2.077,0.003
2.078,0.003
2.079,0.003
2.08,0.003
2.083,0.003
2.085,0.003
2.085,0.003
2.085,0.003
2.09,0.003
2.098,0.003
2.104,0.003
2.108,0.003
2.109,0.003
2.109,0.003
2.112,0.003
2.115,0.003
2.116,0.003
2.117,0.003
2.118,0.003
2.119,0.003
2.119,0.003
2.12,0.003
2.121,0.003
2.122,0.003
2.122,0.003
2.127,0.003
2.127,0.003
2.131,0.004
2.134,0.004
2.135,0.004
2.137,0.004
2.138,0.004
2.142,0.004
2.144,0.004
2.145,0.004
2.148,0.004
2.152,0.004
2.152,0.004
2.153,0.004
2.154,0.004
2.154,0.004
2.156,0.004
2.156,0.004
2.157,0.004
2.159,0.004
2.159,0.004
2.161,0.004
2.161,0.004
2.162,0.004
2.162,0.004
2.163,0.004
2.164,0.004
2.165,0.004
2.166,0.004
2.166,0.004
2.167,0.004
2.169,0.004
2.173,0.004
2.175,0.004
2.176,0.004
2.176,0.004
2.18,0.004
2.184,0.004
2.188,0.004
2.188,0.004
2.19,0.004
2.194,0.004
2.196,0.004
2.196,0.004
2.197,0.004
2.199,0.004
2.2,0.004
2.203,0.005
2.207,0.005
2.207,0.005
2.208,0.005
2.21,0.005
2.217,0.005
2.218,0.005
2.221,0.005
2.223,0.005
2.223,0.005
